,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,every adverse,,,,,,,,,,,,,,,,,,,,,,,,
treatment ,category,sub category ,overall benefit,overall adverse,Aggression,Anxiety,Attention,Cognition,Communication,Constipation,Depression,Diarrhea,Falling Asleep,General,Health,Hyperactivity,Irritability,Lethargy,OCD,Reflux,Seizures,Self-Injury,Sensory,Skin problem,Social,Staying Asleep,Stimming,Tics,,Aggression,Anxiety,Bladder,Behavior,Cognition,Depression,Dizziness,Dry mouth,Fatigue,Gastrointestinal,General,Headache,Hyperactivity,Irritability,Liver & Kidney,Loss of appetite,Nausea,Rash,Seizures,Self-injury,Sleep,Stimming,Tics,Weight gain,Weight loss
Blend of Amino Acids ,Nutritional Supplement,Amino Acids,1.5,0.1,6%,12%,13%,10%,8%,0%,0%,2%,2%,54%,10%,8%,8%,2%,2%,0%,0%,0%,4%,0%,6%,0%,4%,0%,,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,4%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Glutamine,Nutritional Supplement,Amino Acids,1.1,0.2,5%,5%,10%,0%,5%,0%,0%,10%,0%,57%,0%,10%,5%,5%,0%,0%,0%,0%,5%,0%,5%,0%,5%,0%,,5%,0%,0%,5%,0%,0%,0%,0%,0%,5%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,5%,5%,0%,0%,0%
Taurine,Nutritional Supplement,Amino Acids,1.5,0.4,7%,14%,7%,0%,4%,0%,4%,0%,7%,43%,4%,4%,0%,7%,0%,0%,0%,0%,0%,4%,4%,4%,0%,0%,,7%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,7%,0%,0%,0%,0%,0%,4%,4%,4%,0%,0%,0%
Tryptophan,Nutritional Supplement,Amino Acids,1.6,0.2,14%,18%,0%,0%,0%,0%,9%,0%,32%,14%,0%,5%,14%,0%,0%,0%,0%,0%,0%,0%,0%,23%,9%,9%,,5%,9%,0%,5%,0%,0%,0%,0%,0%,0%,5%,0%,0%,5%,0%,0%,0%,0%,0%,0%,5%,5%,0%,0%,0%
Cod Liver Oil,Nutritional Supplement,EFA,1.5,0.1,3%,4%,22%,32%,18%,9%,3%,1%,1%,40%,10%,2%,4%,1%,2%,1%,0%,3%,4%,4%,12%,2%,8%,2%,,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,2%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%
Evening Primrose Oil,Nutritional Supplement,EFA,1.6,0.2,0%,5%,20%,10%,10%,0%,0%,0%,0%,45%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,10%,0%,,10%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Fish Oil,Nutritional Supplement,EFA,1.6,0.0,4%,4%,14%,25%,14%,6%,1%,1%,1%,32%,6%,2%,4%,0%,1%,0%,0%,0%,2%,2%,5%,1%,2%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%
Flax Seed Oil,Nutritional Supplement,EFA,1.2,0.1,0%,0%,3%,2%,3%,16%,0%,2%,0%,47%,3%,0%,0%,0%,0%,0%,0%,0%,0%,2%,2%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%
Krill Oil,Nutritional Supplement,EFA,1.5,0.2,0%,3%,7%,17%,10%,7%,0%,0%,3%,53%,3%,0%,0%,0%,0%,0%,0%,0%,0%,3%,7%,0%,0%,0%,,3%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%
Omega 3,Nutritional Supplement,EFA,1.8,0.0,4%,4%,17%,25%,14%,2%,1%,1%,1%,43%,6%,2%,3%,0%,0%,1%,1%,1%,1%,2%,5%,1%,2%,1%,,1%,1%,0%,1%,0%,0%,0%,0%,0%,1%,1%,0%,0%,1%,0%,0%,1%,1%,0%,1%,1%,0%,0%,0%,0%
